Id;Name;Examples;Pattern;Type;Color;ShowInTranscriptions
11947;1.1 Установление контакта - Приветствие;здравствуйте, добрый день, доброе утро, добрый вечер, утро доброе, рады приветствовать в россювелирторг, добро пожаловать в россювелирторг, приветствуем вас в россюверторг, приветствую вас, приветствуем вас, добро пожаловать в россювелирторг, приветствуем вас в россювелиргорт, рады вас видеть в росссювелирторг, очень рада что зашли к нам, очень рад что зашли к нам;здравствуйте|здрас(ь?)те|добрый.{1,5}(день|вечер)|доброе.{1,5}утро|\s\sутро доброе\s|\sрады приветствовать в россювелирторг\s|\sдобро пожаловать в россювелирторг\s|\sприветствуем вас в россюверторг\s|\sприветствую вас\s|\sприветствуем вас\s|\sдобро пожаловать в россювелирторг\s|\sприветствуем вас в россювелиргорт\s|\sрады вас видеть в росссювелирторг|очень рад.{0,8}зашли к нам;DialogBegin;Blue;True
12447;1.2 Установление контакта - фразы для установления контакта;давайте я вас сориентирую, здесь представлено, на этой стороне, на этой витрине, в этой витрине, тут у нас витрина, в этой части зала, тут представлены, на той стороне, в той стороне, в этой части зала, в той части зала, здесь серебро, тут серебро, здесь представлено серебро, серебро представлено, здесь серебро, представлено тут серебро, у нас здесь серебро, у нас тут, здесь золото, тут золото, здесь представлено золото, тут представлено золото, золото представлено здесь золото представлено тут, золото у нас тут, золото у нас здесь, здесь бижутерия, здесь представлены сваровски, бижутерия представлены здесь, тут бижутерия, здесь у нас бриллианты, здесь представлены бриллианты, бриллианты тут, можно здесь посмотреть бриллиант, по правой стороне, по левой стороне, вот витрина с серебром, с этой стороны серебряное украшение, с противоположной все из золота, в этой части у нас серебряные украшения, в той части золотые, бриллиантами представлены, фианиты представлены, серебро представлено, с другой стороны, вдоль стен представлены, в центральной части зала, по периметру, у нас в центре зала, в центре золото, в центре серебро, по периметру расставлено, здесь бриллиантовая коллекция, с той стороны, в этих витринах, на этих витринах, в центре у нас представлено, здесь расположены, тут расположены, с правой стороны бриллианты, по правую сторону золотые украшения, сверху будет серебро, золото внизу, верхняя витрина, сориентирую вас по залу, у нас по периметру, по левую сторону, дальше серебро будет, в центре бриллиантовая группа, расположены часы, часы расположены, детская коллекция, здесь в середине зала, золотые внутри салона, серебро на островах, серебро вынесено на острова, серебро отдельно на островах, золото нас середине зала, золото по центру, представлены здесь, с правой стороны зала, с левой стороны зала, золото посередине, островок серебра, серебро отсюда начинается, островок серебра по этой стене, по той стороне будет серебро, вдоль стен серебро, находится серебряные украшения, вся витрина золото, с правой стороны серебро, по стенкам серебряные украшения, на входной витрине, противоположная сторона, в центральной части представлена, в центре представлены, золото вот здесь, наверху сверху золото снизу серебро, в начале зала, противоположную сторону, наверху в золоте наверху в серебре внизу, в золоте снизу, в серебре внизу, еще тоже витринка, по обеим сторонам, по всему периметру зала, по той стеночке, островная часть, серебро по кругу, золото все по кругу, представлены здесь, покажу где находится , здесь по кругу, в прикассовой зоне, по ту сторону расположены, вдоль этой стены, давайте я познакомлю с наши ассортиментом, благодарю , что не прошли мимо, что бы вы хотели приобрести, я вижу вас заинтересовали, вижу вы интересуетесь необычными украшениями, давайте расскажу об этой витрине, очень рекомендую обратить внимание на эту витрину, украшения предствленные тут сегодня по особой цене, это лимитированная коллекция, такие украшения представлены только в нашем салоне, вы нашли, что искали, продолжение этой коллекции с другой стороны, а как вы относитесь к необычным украшениям, долго к нам добирались, долго нас искали, вы часто бываете в нашем салоне, какое украшение в этот раз выбирать будем, как вам удается так изумительно сочетать свои украшения, я вижу вы впервые в нашем салоне разрешите я проведу вам небольшую экскурсию, эта модель, которую вы рассматриваете с последней ювелирной выставки, а вы уже слышали о нашей коллекции, обратите внимание на новинки нашего салона;давайте я вас сориентирую|здесь.{0,8}представлен|на этой стороне|на этой витрине|в этой витрине|тут у нас витрина|в этой части зала|тут представлены|на той стороне|в той стороне|в этой части зала|в той части зала|здесь серебро|тут серебро|здесь представлено серебро|серебро представлено|здесь серебро|представлено тут серебро|у нас здесь серебро|у нас тут|здесь золото|тут золото|здесь представлено золото|тут представлено золото|золото представлено здесь золото представлено тут|золото у нас тут|золото у нас здесь|здесь бижутерия|здесь представлены сваровски|бижутерия представлены здесь|тут бижутерия|здесь у нас бриллианты|здесь представлены бриллианты|бриллианты тут|можно здесь посмотреть бриллиант|по правой стороне|по левой стороне|вот витрина с серебром|с этой стороны серебряное украшение|с противоположной все из золота|в этой части у нас серебряные украшения|в той части золотые|бриллиантами представлены|фианиты представлены|серебро представлено|с другой стороны|вдоль стен представлены|в центральной части зала|по периметру|у нас в центре зала|в центре золото|в центре серебро|по периметру расставлено|здесь бриллиантовая коллекция|с той стороны|в этих витринах|на этих витринах|в центре у нас представлено|здесь расположены|тут расположены|с правой стороны бриллианты|по правую сторону золотые украшения|сверху будет серебро|золото внизу|верхняя витрина|сориентирую вас по залу|у нас по периметру|по левую сторону|дальше серебро будет|в центре бриллиантовая группа|расположены часы|часы расположены|детская коллекция|здесь в середине зала|золотые внутри салона|серебро на островах|серебро вынесено на острова|серебро отдельно на островах|золото нас середине зала|золото по центру|представлены здесь|с правой стороны зала|с левой стороны зала|золото посередине|островок серебра|серебро отсюда начинается|островок серебра по этой стене|по той стороне будет серебро|вдоль стен серебро|находится серебряные украшения|вся витрина золото|с правой стороны серебро|по стенкам серебряные украшения|на входной витрине|противоположная сторона|в центральной части представлена|в центре представлены|золото вот здесь|наверху сверху золото снизу серебро|в начале зала|противоположную сторону|наверху в золоте наверху в серебре внизу|в золоте снизу|в серебре внизу|еще тоже витринка|по обеим сторонам|по всему периметру зала|по той стеночке|островная часть|серебро по кругу|золото все по кругу|представлены здесь|покажу где находится|здесь по кругу|в прикассовой зоне|по ту сторону расположены|вдоль этой стены|давайте я познакомлю с наши ассортиментом|благодарю |что не прошли мимо,что бы вы хотели приобрести|я вижу вас заинтересовали|вижу вы интересуетесь необычными украшениями|давайте расскажу об этой витрине|очень рекомендую обратить внимание на эту витрину|украшения предствленные тут сегодня по особой цене|это лимитированная коллекция|такие украшения представлены только в нашем салоне|вы нашли|что искали|продолжение этой коллекции с другой стороны|а как вы относитесь к необычным украшениям|долго к нам добирались|долго нас искали,вы часто бываете в нашем салоне|какое украшение в этот раз выбирать будем|как вам удается так изумительно сочетать свои украшения|я вижу вы впервые в нашем салоне разрешите я проведу вам небольшую экскурсию|эта модель|которую вы рассматриваете с последней ювелирной выставки|а вы уже слышали о нашей коллекции|обратите внимание на новинки нашего салона;None;Blue;True
12448;1.3 Установление контакта - Запрещенные фразы;чем-то могу, помочь чем-нибудь, могу помочь, подсказать вам, вам подсказать, подсказать что-нибудь, что-нибудь подсказать, что-то подсказать, подсказать что-то, помогу с выбором, помочь с выбором, помочь вам с выбором, помогу вам с выбором, помочь вам сориентироваться, помочь сориентироваться, подобрали что-то, что-то подобрали, подобрали что-нибудь, что-нибудь подобрали, присмотрели что-нибудь, что-нибудь присмотрели, что-то присматриваете, присматриваете что-то, нашли что-нибудь, что-нибудь нашли, что-то уже присмотрели, присмотрели что-то, что-то присмотрели, поближе показать, примерим что-нибудь, что-нибудь примерим, какое-то конкретное, украшение какое-то, определенное украшение, что-то определенное, определенное что-то, определенное что-нибудь, что-нибудь определенное, подсказать может быть что-то, что-то заинтересовало, заинтересовало что-то, что вас интересует, что присматриваете, мерить не будете, у нас новый завоз, все перед вами смотрите, я без бейджа сегодня, не знаю, не могу, вы не правы, ничем не могу вам помочь, это вы сами виноваты, мы здесь не при чем, это там сказали, у них и спросите, ага , понятно, ну, в общем ясно, не понравилось, очень качественное украшение , у нас есть еще дешевле, самые дешевые тут, может посмотрим что-нибудь из дорогого, дешевле точно не бывает, вы что-то определенное ищете;чем-то могу\s|\sпомочь чем-нибудь\s|\sмогу помочь\s|\sподсказать вам\s|\sвам подсказать\s|\sподсказать что-нибудь\s|\sчто-нибудь подсказать\s|\sчто-то подсказать\s|\sподсказать что-то\s|\sпомогу с выбором\s|\sпомочь с выбором\s|\sпомочь вам с выбором\s|\sпомогу вам с выбором\s|\sпомочь вам сориентироваться\s|\sпомочь сориентироваться\s|\sподобрали что-то\s|\sчто-то подобрали\s|\sподобрали что-нибудь\s|\sчто-нибудь подобрали\s|\sприсмотрели что-нибудь\s|\sчто-нибудь присмотрели\s|\sчто-то присматриваете\s|\sприсматриваете что-то\s|\sнашли что-нибудь\s|\sчто-нибудь нашли\s|\sчто-то уже присмотрели\s|\sприсмотрели что-то\s|\sчто-то присмотрели\s|\sпоближе показать\s|\sпримерим что-нибудь\s|\sчто-нибудь примерим\s|\sкакое-то конкретное\s|\sукрашение какое-то\s|\sопределенное украшение\s|\sчто-то определенное\s|\sопределенное что-то\s|\sопределенное что-нибудь\s|\sчто-нибудь определенное\s|\sподсказать может быть что-то\s|\sчто-то заинтересовало\s|\sзаинтересовало что-то\s|\sчто вас интересует\s|\sчто присматриваете|мерить не будете|у нас новый завоз|все перед вами смотрите|я без бейджа сегодня|не знаю|не могу|вы не правы|ничем не могу вам помочь|это вы сами виноваты|мы здесь не при чем|это там сказали|у них и спросите|\sага\s|\sпонятно\s|\sну\s|\sв общем ясно\s|не понравилось|очень качественное украшение|у нас есть еще дешевле|самые дешевые тут|может посмотрим что-нибудь из дорогого|дешевле точно не бывает|вы что-то определенное ищете;None;Red;True
13869;1.4 Второе приветствие;обратите внимание, позже к вам подойду, знакомьтесь с нашим ассортиментом, я освобожусь, вас проконсультирую;\sобратите внимание\s|\sпозже к вам подойду\s|знакомьтесь.{0,15} ассортиментом|я освобожусь|вас проконсультирую;None;Blue;True
12473;10.1 Скупка+обмен;обменяй старое украшение, обменять старое на новое, старое на новое, можете обменять свои старые украшения, украшения которые уже не носите, цена за грамм, приносите свои старые украшения, сдать старое золото, принести свои старые украшения, обменять на новое, можете старое золото обменять на новое, сдать старое украшение, обменять на новое, сдаете золото, сдать старые украшения, обмен старого на новое, обмен старых украшений на новые, можете приносить на обмен, можете принести на обмен, обмениваем старые украшения на новые, можно обменивать старые украшения на новые, обмениваем на новое, обмен золота, золото на обмен, украшение в обмен на новое, при обмене вашего золота, обмен старого, приносится ваше старое золото, можете старое принести обменять, ваше старое золото обменять, обмен старых изделий, принимаем старое золото, старое золото на новые украшения, сдаете свои старые украшения, обменяем золото, старого изделия на новое, золото принимаем, старых на новые, старое изделие на новое, старое золото обменивается, принимаем ваши старые, старые украшения на новый, услуга обмена украшений, старых украшений на наши новые, обменять на новые изделия, можете принести свое старое золото, поменяем вам на новый, старое золото меняем, меняем на новое, старого золота на новое, старое золото можете принести, старое золото сдаете, принимаем украшения на обмен, выгодный обмен, выгодно обменять, выгодно обмениваем, обмен выгодный, обменять выгодно, обмениваем выгодно, которые не носите, курс обмена, приносите старое, сдать старое изделие, принимаем старое украшение, принимаем ваше золото, есть старые украшения, обмен старых ювелирных, обменивать старые сломанные, скупка, ломбард, обмен еще есть, обмен и скупка, скупаем золото, сдать золото в ломбард, скупка на выгодных условиях, обмен украшений, обмениваем на новое, приносится ваше старое, поломанное золото, можете старое принести, обмен старых изделий, принимаем старое золото, старое золото на новые украшения , сдаете свои старые украшения, выгодный обмен, выгодный обмен старого на новое, скупка золота выгодная цена, старые сломанные украшения приносите и обменяйте их на новые, курс обмена, курс скупки, стоимость обмена, стоимость скупки, услуга скупки, услуга обмена, обмен изделий, меняем старые украшения, меняем старые изделия, обмен золота, скупка золота, меняем старое золото, скупаем старое золото;обменяй старое украшение|обменять старое на новое|старое на новое|можете обменять свои старые украшения|украшения которые уже не носите|цена за грамм|приносите свои старые украшения|сдать старое золото|принести свои старые украшения|обменять на новое|можете старое золото обменять на новое|сдать старое украшение|обменять на новое|сдаете золото|сдать старые украшения|обмен старого на новое|обмен старых украшений на новые|можете приносить на обмен|можете принести на обмен|обмениваем старые украшения на новые|можно обменивать старые украшения на новые|обмениваем на новое|обмен золота|золото на обмен|украшение в обмен на новое|при обмене вашего золота|обмен старого|приносится ваше старое золото|можете старое принести обменять|ваше старое золото обменять|обмен старых изделий|принимаем старое золото|старое золото на новые украшения|сдаете свои старые украшения|обменяем золото|старого изделия на новое|золото принимаем|старых на новые|старое изделие на новое|старое золото обменивается|принимаем ваши старые|старые украшения на новый|услуга обмена украшений|старых украшений на наши новые|обменять на новые изделия|можете принести свое старое золото|поменяем вам на новый|старое золото меняем|меняем на новое|старого золота на новое|старое золото можете принести|старое золото сдаете|принимаем украшения на обмен|выгодный обмен|выгодно обменять|выгодно обмениваем|обмен выгодный|обменять выгодно|обмениваем выгодно|которые не носите|курс обмена|приносите старое|сдать старое изделие|принимаем старое украшение|принимаем ваше золото|есть старые украшения|обмен старых ювелирных|обменивать старые сломанные|скупка|ломбард|обмен еще есть|обмен и скупка|скупаем золото|сдать золото в ломбард|скупка на выгодных условиях|обмен украшений|обмениваем на новое|приносится ваше старое|поломанное золото|можете старое принести|обмен старых изделий|принимаем старое золото|старое золото на новые украшения ,сдаете свои старые украшения|выгодный обмен|выгодный обмен старого на новое|скупка золота выгодная цена|старые сломанные украшения приносите и обменяйте их на новые|курс обмена|курс скупки|стоимость обмена|стоимость скупки|услуга скупки|услуга обмена|обмен изделий|меняем старые украшения|меняем старые изделия|обмен золота|скупка золота|меняем старое золото|скупаем старое золото;None;Yellow;True
12474;11.1 Оплата - Наличные, карта;пройдемте на кассу, приглашаю вас к кассе, ваша покупка с учетом всех скидок, сумма покупки с учетом скидок и бонусов, вы экономите, итого к оплате, итого к оплате получается, бонусы списываем, итого с учетом бонусов, скажите четырехзначный код из смс, отправлю вам код на номер телефона, отправлю вам код на телефон, оплата картой или наличными, расчет наличными или по карте, прикладывайте карту, доплата наличными, вы мне дали наличными, доплата по карте, наличными, по карте, прикладывайте карту, доплата наличными, вы мне дали наличными, доплата по карте, доплата составит, доплатить удобно, вам придет смс, четыре цифры из смс, четырехзначный код, пин код пожалуйста, удобно наличными или по карте, удобно наличным или безналичным, нал или безнал, за минусом всех скидок, к оплате, за минусом скидки и бонусов, сумма доплаты, доплата составит, прикладывать или вставлять, прикладывайте карту, вставляйте карту, можете оплачивать, ваш пин код, вводите пин код, к оплате будет;пройдемте на кассу|приглашаю вас к кассе|ваша покупка с учетом всех скидок|сумма покупки с учетом скидок и бонусов|вы экономите|итого к оплате|итого к оплате получается|бонусы списываем|итого с учетом бонусов|скажите четырехзначный код из смс|отправлю вам код на номер телефона|отправлю вам код на телефон|оплата картой или наличными|расчет наличными или по карте|прикладывайте карту|доплата наличными|вы мне дали наличными|доплата по карте|наличными|по карте|прикладывайте карту|доплата наличными|вы мне дали наличными|доплата по карте|доплата составит|доплатить удобно|вам придет смс|четыре цифры из смс|четырехзначный код|пин код пожалуйста|удобно наличными или по карте|удобно наличным или безналичным|нал или безнал|за минусом всех скидок|к оплате|за минусом скидки и бонусов|сумма доплаты|доплата составит|прикладывать или вставлять|прикладывайте карту|вставляйте карту|можете оплачивать|ваш пин код|вводите пин код|к оплате будет;None;Pink;True
12475;11.2 Оплата - Кредит, рассрочка;оплата в рассрочку от магазина, рассрочка от магазина на три месяца, можете рассчитываться в течении трех месяцев, украшение храниться в магазине, рассрочка от салона на сумму от десяти тысяч, первоначальный взнос десять процентов, на три месяца, в рассрочку от салона, в рассрочку от россювелирторга, в рассрочку от нашей компании, рассрочка от банка , рассрочка от тинькофф, кредит и рассрочка от тинькофф, мы работаем с тинькофф, мы работаем с банками тинькофф, отп банк, без процентов, без переплат, на срок от трех до двенадцати месяцев, оформим в рассрочку, оформим в кредит, рассрочка и кредит от хоум кредит банк, рассрочка от брокера всегда да, всегда да от хоум кредит, рассрочка одобрена, вам одобрили кредит, отп-банк, почта-банк, тинькофф-кредит брокер , тинькофф банк, восточный экспресс банк, кредит европа банк, мтс-банк, совкомбанк, оплата по карте халва, по карте свобода, можете рассчитаться в рассрочку по карте халва, рассрочка по карте свобода, вам одобрили рассрочку, рассрочка одобрена, на какой период будем оформлять рассрочку, на какой срок будем оформлять кредит, на сколько месяцев удобно оформить рассрочку, кредит, рассрочка, выгодная рассрочка, выгодный кредит, беспроцентная рассрочка, рассрочка без переплаты, рассрочка, кредит, в рассрочку, в кредит, наша рассрочка, у нас есть рассрочка, у нас есть кредит, оформить в кредит, оформить в рассрочку;оплата в рассрочку от магазина\s|\sрассрочка от магазина на три месяца\s|\sможете рассчитываться в течении трех месяцев\s|\sукрашение храниться в магазине\s|\sрассрочка от салона на сумму от десяти тысяч\s|\sпервоначальный взнос десять процентов\s|\sна три месяца\s|\sв рассрочку от салона\s|\sв рассрочку от россювелирторга\s|\sв рассрочку от нашей компании\s|\sрассрочка от банка\s|\sрассрочка от тинькофф\s|\sкредит и рассрочка от тинькофф\s|\sмы работаем с тинькофф\s|\sмы работаем с банками тинькофф\s|\sотп банк\s|\sбез процентов\s|\sбез переплат\s|\sна срок от трех до двенадцати месяцев\s|\sоформим в рассрочку\s|\sоформим в кредит\s|\sрассрочка и кредит от хоум кредит банк\s|\sрассрочка от брокера всегда да\s|\sвсегда да от хоум кредит\s|\sрассрочка одобрена\s|\sвам одобрили кредит\s|\sотп банк\s|\sпочта банк\s|\sтинькофф кредит брокер\s|\sтинькофф банк\s|\sвосточный экспресс банк\s|\sкредит европа банк\s|\sмтс банк\s|\sсовкомбанк\s|\sоплата по карте халва\s|\sпо карте свобода\s|\sможете рассчитаться в рассрочку по карте халва\s|\sрассрочка по карте свобода\s|\sвам одобрили рассрочку\s|\sрассрочка одобрена\s|\sна какой период будем оформлять рассрочку\s|\sна какой срок будем оформлять кредит\s|\sна сколько месяцев удобно оформить рассрочку|рассрочка|кредит|в рассрочку|оформлять рассрочку|рассрочку;None;Pink;True
12476;11.3 Оплата - Долями (Тинькофф);"у нас появился сервис долями, вы можете рассчитаться с помощью сервиса долями, удобно платить долями, долями на два месяца, равными платежами, оплатить долями с карты любого банка, по ссылке сервиса оплачиваете первую часть, потом каждые две недели с карты списывается равными частями оставшаяся сумма, долями на сумму до тридцати тысяч рублей, при оформлении рассрочки долями не нужны документы, долями без паспорта, долями от тинькофф, подходит карта любого банка, при оплате в рассрочку долями украшение забираете сейчас а оплачиваете два месяца, рассрочка долями одобрена, отправила ссылку на сервис долями, пройдите по ссылке на сервис долями, оплатите по ссылке сервиса долями, долями на сумму от четырех до тридцати тысяч рублей, долями позволяет, разделить оплату, на четыре части, без комиссий и переплат, долями, долями, рассрочка долями, система долями, оплата долями, расчет долями, действует долями, ";у нас появился сервис долями\s|\sвы можете рассчитаться с помощью сервиса долями\s|\sудобно платить долями\s|\sдолями на два месяца\s|\sравными платежами\s|\sоплатить долями с карты любого банка\s|\sпо ссылке сервиса оплачиваете первую часть\s|\sпотом каждые две недели с карты списывается равными частями оставшаяся сумма\s|\sдолями на сумму до тридцати тысяч рублей\s|\sпри оформлении рассрочки долями не нужны документы\s|\sдолями без паспорта\s|\sдолями от тинькофф\s|\sподходит карта любого банка\s|\sпри оплате в рассрочку долями украшение забираете сейчас а оплачиваете два месяца\s|\sрассрочка долями одобрена\s|\sотправила ссылку на сервис долями\s|\sпройдите по ссылке на сервис долями\s|\sоплатите по ссылке сервиса долями\s|\sдолями на сумму от четырех до тридцати тысяч рублей\s|\sдолями позволяет\s|\sразделить оплату\s|\sна четыре части\s|\sбез комиссий и переплат|долями|разделить оплату|\sна четыре части\s|\sдолями\s;None;Pink;True
12477;12.1 Завершение продажи, упаковка;вы сразу наденете или упаковать, бирку срезать, ценник убрать, бирку убрать, ваш чек , ваша сдача, возьмите сдачу, все складываю в фирменный пакет, чек, украшение складываю в пакет, чеки бирки сохраняйте, чеки бирки не выкидывайте, чек внутри, чек в пакете чек , положила в пакет, купоны от наших партнеров, памятка по уходу за ювелирными изделиями, памятка по уходу за украшениями, ознакомьтесь как правильно ухаживать за украшениями, изделия упаковать, украшение упаковать, серьги упаковать, кольцо упаковать, комплект упаковать, подвеску упаковать, колье упаковать, цепь упаковать, обновку упакуем, обновку наденем, поздравляю с обновкой, ваши обновки, как поступим с биркой, стоимость уберем, стоимость срежем, бирку уберем, бирку срежем, гарантия на изделие, гарантия на украшения, гарантия шесть месяцев, гарантия пол года, украшения сейчас упакую, изделия сейчас упакую, обновки сейчас упакую, подарок сейчас упакую, поздравляю с обновкой, поздравляю с приобретением, поздравляю с покупкой;вы сразу наденете или упаковать\s|\sбирку срезать\s|\sценник убрать\s|\sбирку убрать\s|\sваш чек\s|\sваша сдача\s|\sвозьмите сдачу\s|\sвсе складываю в фирменный пакет\s|\sчек\s|\sукрашение складываю в пакет\s|\sчеки бирки сохраняйте\s|\sчеки бирки не выкидывайте\s|\sчек внутри\s|\sчек в пакете чек\s|\sположила в пакет\s|\sкупоны от наших партнеров\s|\sпамятка по уходу за ювелирными изделиями\s|\sпамятка по уходу за украшениями\s|\sознакомьтесь как правильно ухаживать за украшениями|изделия упаковать|украшение упаковать|серьги упаковать|кольцо упаковать|комплект упаковать|подвеску упаковать|колье упаковать|цепь упаковать|обновку упакуем|обновку наденем|поздравляю с обновкой|ваши обновки|как поступим с биркой|стоимость уберем|стоимость срежем|бирку уберем|бирку срежем|гарантия на изделие|гарантия на украшения|гарантия шесть месяцев|гарантия пол года|украшения сейчас упакую|изделия сейчас упакую|обновки сейчас упакую|подарок сейчас упакую|поздравляю с обновкой|поздравляю с приобретением|поздравляю с покупкой;None;Gray;True
12478;13.1 Акции;от этой цены будет пятьдесят процентов, скидка пятьдесят процентов от цены, минус пятьдесят процентов от этой цены, у нас сегодня скидки, у нас сегодня акция, на сегодня действуют скидки, знаете про нашу акцию, от всех указанных цен, скидка от указанных цен, два по цене одного, два украшения покупаете второе в подарок, второе по меньшей стоимости в подарок, два украшения по цене одного, второе изделие в чеке в подарок, одно изделие покупаете второе в подарок, два изделия по цене одного, при покупке одного изделия второе в подарок, две по цене одной, у нас сейчас сорок процентов скидка, сорок процентов сейчас от указанной стоимости, сейчас сорок процентов скидка на все, сорок процентов скидка у нас, будет скидка сорок процентов, скидка на украшения от сорока процентов, у нас сейчас скидки, последний день скидки, последний день скидок, последний день акция, скидка сорок процентов, скидка на весь ассортимент, скидки на все изделия, скидки от сорока, скидки у нас от сорока процентов, скидки от сорока до шестидесяти процентов, сорок процентов скидка на все, акция на все минус сорок, цены минус пятьдесят, минус пятьдесят процентов на весь ассортимент, пятьдесят процентов скидка сейчас, скидки от пятидесяти процентов, скидка на все, пятьдесят процентов на все, цены от производителя, пятьдесят процентов скидка сейчас, со скидкой пятьдесят процентов, на все пятьдесят процентов, шестьдесят процентов, сорок процентов на весь ассортимент, скидка сорок процентов и еще десять дополнительная, идет акция два по цене одного, при покупке двух изделий вы платите за одно, наименьшая по стоимости идет в подарок, на все украшения скидка, нашими акциями знакомы, скидка пятьдесят процентов, скидка от пятидесяти процентов, скидки до семидесяти процентов, скидка на все, от пятидесяти до семидесяти, скидка на украшения от пятидесяти процентов, скидки в честь, день рождение кристалл, на все скидка процентов, скидка на все изделия, до минус семидесяти процентов, вам уже рассказали про наши скидки, скидки процентов на все, у нас в магазине скидки, на весь ассортимент скидка, на весь ассортимент скидка пятьдесят процентов, на все украшения пятьдесят процентов, скидки у нас на все пятьдесят процентов, минус пятьдесят от цены, от пятидесяти процентов скидка, скидки до пятидесяти процентов, минус пятьдесят процентов, цены неокончательные, действует скидка, цена не окончательная, действуют скидки на весь ассортимент, скидка шестьдесят процентов, на все украшения шестьдесят процентов, скидки у нас на все шестьдесят процентов, минус шестьдесят от цены, от шестидесяти процентов, скидки до шестидесяти процентов, минус шестьдесят процентов, скидка по промокоду, подвеска в подарок, плюс скидка по вашей дисконтной карте, скидка по дисконтной карте суммируется, акция действует до, скидка действует до, скидка по вашей карте, пятьдесят семь процентов, у нас цены не окончательные, минус семьдесят, скидк, дисконтная карта, дисконтную, акция, акцию;от этой цены будет пятьдесят процентов|скидка пятьдесят процентов|минус пятьдесят процентов от этой цены|у нас сегодня скидки|у нас сегодня акция|на сегодня действуют скидки|знаете про нашу акцию|от всех указанных цен|скидка от указанных цен|два по цене одного|два украшения покупаете второе в подарок|второе по меньшей стоимости в подарок|два украшения по цене одного|второе изделие в чеке в подарок|одно изделие покупаете второе в подарок|два изделия по цене одного|при покупке одного изделия второе в подарок|две по цене одной|у нас сейчас сорок процентов скидка|сорок процентов сейчас от указанной стоимости|сейчас сорок процентов скидка на все|сорок процентов скидка у нас|скидка сорок процентов|скидка на украшения от сорока процентов|у нас сейчас скидки|последний день скидки|последний день скидок|последний день акция|скидки сорок процентов|скидка на весь ассортимент|скидки на все изделия|скидки от сорока|скидки у нас от сорока процентов|скидки от сорока до шестидесяти процентов|сорок процентов скидка на все|акция на все минус сорок|цены минус пятьдесят|минус пятьдесят процентов на весь ассортимент|пятьдесят процентов скидка сейчас|скидки от пятидесяти процентов|скидка на все|пятьдесят процентов на все|цены от производителя|пятьдесят процентов скидка сейчас|со скидкой пятьдесят процентов|на все пятьдесят процентов|шестьдесят процентов|сорок процентов на весь ассортимент|скидка сорок процентов и еще десять дополнительная|идет акция два по цене одного|при покупке двух изделий вы платите за одно|наименьшая по стоимости идет в подарок|на все украшения скидка|нашими акциями знакомы|скидки пятьдесят процентов|скидка от пятидесяти процентов|скидки до семидесяти процентов|скидки на все|от пятидесяти до семидесяти|скидка на украшения от пятидесяти процентов|скидки в честь|день рождение кристалл|на все скидка.{1,30}процентов|скидка на все изделия|до минус семидесяти процентов|вам уже рассказали про наши скидки|скидки.{0,15}процентов на все|у нас в магазине скидки|на весь ассортимент скидка|на весь ассортимент скидка пятьдесят процентов|на все украшения пятьдесят процентов|скидки у нас на все пятьдесят процентов|минус пятьдесят от цены|от пятидесяти процентов скидка|скидки до пятидесяти процентов|минус пятьдесят процентов|цены неокончательные|действует скидка|цена не окончательная|действуют скидки|действуют скидки на весь ассортимент|минус шестьдесят от цены|скидки у нас на все шестьдесят процентов|от шестидесяти процентов|скидки до шестидесяти процентов|минус шестьдесят процентов|скидка по промокоду|подвеска в подарок|плюс скидка по вашей дисконтной карте|скидка по дисконтной карте суммируется|акция действует до|скидка действует до|скидка по вашей карте|пятьдесят семь процентов|у нас цены не окончательные|минус семьдесят|скидка по вашей карте|пятьдесят семь процентов|процент\S на весь ассортимент|скидк.{1,5}пятьдесят два процента|цен[ыа] не окончательн\S|скидк.{0,10}до шестидесяти процентов|скидка будет|\sцены указаны без\s|скидк|дисконтная карта|дисконтную|акция|акцию;None;LightOrange;True
